"","Robos_vivienda","Robos_personas","distancia_estacion_policia"
"4986",53,926,553.939637485115
"4987",156,1609,727.279622482822
"4988",156,1609,1101.7469792545
"4989",156,1609,1017.4312474751
"4990",156,1609,727.279622482822
"4991",105,1440,417.587834026226
"4992",105,1440,1023.9659122911
"4993",156,1609,752.979117441752
"4994",53,926,597.057382709913
"4995",233,2337,545.111946173351
"4996",273,2652,352.909825002036
"4997",156,1609,533.635504742399
"4998",105,1440,828.835306831135
"4999",233,2337,660.787160917291
"5000",53,926,231.784151252305
"5001",156,1609,537.06221803437
"5002",239,2612,594.707219214001
"5003",239,2612,594.707219214001
"5004",92,875,340.53954819765
"5005",156,1609,813.27849808019
"5006",233,2337,652.44475014092
"5007",156,1609,1033.70490196696
"5008",156,1609,327.487949619226
"5009",156,1609,1100.42019512198
"5010",88,1055,67.824059746282
"5011",156,1609,1597.2526128865
"5012",156,1609,1597.2526128865
"5013",156,1609,1597.2526128865
"5014",156,1609,1597.2526128865
"5015",156,1609,1597.2526128865
"5016",156,1609,1505.84162204969
"5017",156,1609,1597.2526128865
"5018",156,1609,1597.2526128865
"5019",273,2652,857.041812661721
"5020",156,1609,869.209076434552
"5021",273,2652,857.041812661721
"5022",156,1609,327.487949619226
"5023",273,2652,857.041812661721
"5024",88,1055,585.936369270587
"5025",156,1609,877.108776165144
"5026",88,1055,735.597950862931
"5027",156,1609,1463.44842561369
"5028",156,1609,875.345559353999
"5029",156,1609,554.175631438657
"5030",156,1609,1138.22819592666
"5031",156,1609,670.518026082882
"5032",156,1609,1076.02291278752
"5033",156,1609,990.147538205863
"5034",156,1609,716.197940808563
"5035",88,1055,620.196433280856
"5036",156,1609,171.619586949053
"5037",156,1609,502.484488069004
"5038",156,1609,1477.23695577449
"5039",233,2337,1636.0454844461
"5040",101,1202,490.193659817869
"5041",156,1609,528.303853611342
"5042",53,926,480.44641927149
"5043",156,1609,1387.67518398788
"5044",156,1609,355.002869396622
"5045",156,1609,739.414841392705
"5046",156,1609,949.181355925471
"5047",156,1609,355.002869396622
"5048",156,1609,1010.08437319741
"5049",156,1609,1387.67518398788
"5050",156,1609,196.905378510839
"5051",156,1609,211.633088143751
"5052",233,2337,473.507356951733
"5053",156,1609,324.507483739547
"5054",53,926,766.623149982866
"5055",101,1202,812.453821311141
"5056",273,2652,796.266580348211
"5057",156,1609,1245.39557603463
"5058",156,1609,213.539423754766
"5059",156,1609,1387.67518398788
"5060",156,1609,1517.18227264626
"5061",233,2337,1642.01049716489
"5062",156,1609,570.623896754772
"5063",156,1609,1279.35231307774
"5064",233,2337,1418.99331451385
"5065",156,1609,382.842448935879
"5066",273,2652,1070.48849206491
"5067",156,1609,784.581995500535
"5068",156,1609,802.475692032956
"5069",156,1609,1076.71268737711
"5070",156,1609,494.486281257316
"5071",105,1440,836.477629914877
"5072",156,1609,951.889595731126
"5073",156,1609,255.043652054091
"5074",156,1609,911.212316337677
"5075",233,2337,1300.60622324079
"5076",21,1094,223.458293207463
"5077",88,1055,143.832418652267
"5078",156,1609,931.312325511418
"5079",42,524,414.193327622986
"5080",156,1609,496.113703572112
"5081",156,1609,935.14297709826
"5082",156,1609,1592.45031127233
"5083",156,1609,945.02286215976
"5084",156,1609,295.284048009559
"5085",156,1609,1213.89841304679
"5086",156,1609,1298.83786275737
"5087",156,1609,1144.78564520876
"5088",156,1609,894.786507934161
"5089",156,1609,1095.16330059265
"5090",156,1609,546.094379205093
"5091",156,1609,1080.23455738059
"5092",156,1609,1152.49069494105
"5093",156,1609,1335.61025017181
"5094",156,1609,1278.44374880998
"5095",156,1609,860.547958843909
"5096",156,1609,1152.00867955518
"5097",156,1609,1014.01654270469
"5098",156,1609,234.036279298183
"5099",156,1609,965.466711423553
"5100",156,1609,454.227619719689
"5101",156,1609,616.388245980172
"5102",156,1609,892.612171400265
"5103",156,1609,1227.82162695085
"5104",156,1609,353.200091482142
"5105",156,1609,1177.66138451416
"5106",156,1609,677.259349004471
"5107",156,1609,522.951552675894
"5108",156,1609,260.121870593051
"5109",156,1609,1213.89841304679
"5110",156,1609,1335.61025017181
"5111",156,1609,1117.32952656195
"5112",156,1609,132.395008081966
"5113",156,1609,947.461331209114
"5114",156,1609,875.345559353999
"5115",156,1609,834.210862258494
"5116",156,1609,985.733154407875
"5117",156,1609,63.2582814659628
"5118",156,1609,606.317492479249
"5119",156,1609,807.068502883905
"5120",156,1609,1087.58514929643
"5121",156,1609,395.144888955376
"5122",156,1609,1084.11276345921
"5123",156,1609,525.389498506386
"5124",156,1609,717.219592086433
"5125",156,1609,763.244887305399
"5126",156,1609,395.144888955376
"5127",156,1609,804.184539811049
"5128",156,1609,1100.91635269081
"5129",156,1609,1271.87028027876
"5130",156,1609,438.299027443518
"5131",156,1609,763.244887305399
"5132",156,1609,804.184539811049
"5133",156,1609,1613.55766241328
"5134",156,1609,425.894539839717
"5135",156,1609,978.222641132315
"5136",156,1609,1100.91635269081
"5137",156,1609,858.434260201488
"5138",156,1609,1203.88753816452
"5139",156,1609,1315.87999304078
"5140",156,1609,791.488098388073
"5141",156,1609,1156.0378391206
"5142",156,1609,1203.88753816452
"5143",156,1609,436.522026852202
"5144",156,1609,436.161724838501
"5145",156,1609,1318.63644102101
"5146",156,1609,965.280796200566
"5147",156,1609,436.843352530482
"5148",156,1609,835.407657865462
"5149",156,1609,395.144888955376
"5150",156,1609,592.035461684661
"5151",156,1609,791.577830229047
"5152",156,1609,970.758039145518
"5153",156,1609,1648.27348132477
"5154",156,1609,395.144888955376
"5155",156,1609,1100.91635269081
"5156",156,1609,1301.22735618545
"5157",156,1609,304.778053299788
"5158",156,1609,935.69842507282
"5159",156,1609,248.818177645493
"5160",156,1609,348.932409441487
"5161",156,1609,998.321746080381
"5162",156,1609,1390.53780573508
"5163",156,1609,1568.71228893917
"5164",156,1609,1193.86046364595
"5165",156,1609,802.411839921363
"5166",156,1609,334.546361179274
"5167",156,1609,847.247567327674
"5168",156,1609,658.901919367409
"5169",156,1609,326.516190852651
"5170",156,1609,683.017211923801
"5171",156,1609,1613.55766241328
"5172",156,1609,395.144888955376
"5173",156,1609,798.909567465752
"5174",156,1609,1026.38994193021
"5175",156,1609,470.214971570133
"5176",156,1609,701.978648697513
"5177",156,1609,148.810076534054
"5178",156,1609,658.901919367409
"5179",156,1609,1047.30163544813
"5180",156,1609,968.277845604422
"5181",156,1609,1034.73984924534
"5182",156,1609,288.792696604956
"5183",156,1609,892.896664556431
"5184",156,1609,1318.64035266839
"5185",156,1609,1131.79355096494
"5186",156,1609,602.245978411766
"5187",156,1609,395.144888955376
"5188",156,1609,395.144888955376
"5189",156,1609,328.526526214625
"5190",156,1609,1250.07301674041
"5191",156,1609,1130.08751111421
"5192",156,1609,1181.26658858191
"5193",156,1609,1048.96777255244
"5194",156,1609,1309.45107705633
"5195",156,1609,873.940279297939
"5196",156,1609,1124.75693473195
"5197",156,1609,858.65592789009
"5198",156,1609,600.895707536615
"5199",156,1609,449.633955664139
"5200",156,1609,395.144888955376
"5201",156,1609,696.82194471573
"5202",156,1609,399.316369138126
